date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:56:52	8574/8574	---M--	200	added ('OK')	application/javascript	etag:%228c7948-217e-4c2ec258e5d40%22	http://tutorialsymfony2.eu5.org/pag1_files/underscore.js	C:/My%20Web%20Sites/symfony/tutorialsymfony2.eu5.org/pag1_files/underscore.js	(from http://tutorialsymfony2.eu5.org/pag1.htm)
11:56:54	6840/6840	---M--	200	added ('OK')	application/javascript	etag:%228c7930-1ab8-4c2ec231cc100%22	http://tutorialsymfony2.eu5.org/pag1_files/doctools.js	C:/My%20Web%20Sites/symfony/tutorialsymfony2.eu5.org/pag1_files/doctools.js	(from http://tutorialsymfony2.eu5.org/pag1.htm)
11:56:55	309/309	---M--	200	added ('OK')	application/javascript	etag:%228c7942-135-4c2ec24e68480%22	http://tutorialsymfony2.eu5.org/pag1_files/theme_extras.js	C:/My%20Web%20Sites/symfony/tutorialsymfony2.eu5.org/pag1_files/theme_extras.js	(from http://tutorialsymfony2.eu5.org/pag1.htm)
11:56:55	279/279	---M--	200	added ('OK')	text/plain	etag:%228c7929-117-4c2ec219f48c0%22	http://tutorialsymfony2.eu5.org/pag1_files/css.txt	C:/My%20Web%20Sites/symfony/tutorialsymfony2.eu5.org/pag1_files/css.txt	(from http://tutorialsymfony2.eu5.org/pag1.htm)
11:56:56	289/289	---M--	200	added ('OK')	text/plain	etag:%228c792a-121-4c2ec21ae8b00%22	http://tutorialsymfony2.eu5.org/pag1_files/css1.txt	C:/My%20Web%20Sites/symfony/tutorialsymfony2.eu5.org/pag1_files/css1.txt	(from http://tutorialsymfony2.eu5.org/pag1.htm)
11:56:56	0/-1	---M--	302	error ('')			http://tutorialsymfony2.eu5.org/_static/images/icons/languages/gb.png	C:/My%20Web%20Sites/symfony/tutorialsymfony2.eu5.org/_static/images/icons/languages/gb.39.delayed	(from http://tutorialsymfony2.eu5.org/pag1.htm)
11:56:56	232/232	---M--	302	error ('Found')	text/html	date:Wed,%2010%20Aug%202016%2006:26:56%20GMT	http://tutorialsymfony2.eu5.org/_static/images/icons/languages/es.png	C:/My%20Web%20Sites/symfony/tutorialsymfony2.eu5.org/_static/images/icons/languages/es.3a.delayed	(from http://tutorialsymfony2.eu5.org/pag1.htm)
11:56:56	0/-1	---M--	302	error ('')			http://tutorialsymfony2.eu5.org/_static/images/icons/languages/fr.png	C:/My%20Web%20Sites/symfony/tutorialsymfony2.eu5.org/_static/images/icons/languages/fr.3b.delayed	(from http://tutorialsymfony2.eu5.org/pag1.htm)
11:56:57	232/232	---M--	302	error ('Found')	text/html	date:Wed,%2010%20Aug%202016%2006:26:56%20GMT	http://tutorialsymfony2.eu5.org/_static/images/icons/languages/jp.png	C:/My%20Web%20Sites/symfony/tutorialsymfony2.eu5.org/_static/images/icons/languages/jp.png	(from http://tutorialsymfony2.eu5.org/pag1.htm)
11:56:57	232/232	---M--	302	error ('Found')	text/html	date:Wed,%2010%20Aug%202016%2006:26:57%20GMT	http://tutorialsymfony2.eu5.org/_static/images/icons/note.png	C:/My%20Web%20Sites/symfony/tutorialsymfony2.eu5.org/_static/images/icons/note.3d.delayed	(from http://tutorialsymfony2.eu5.org/pag1.htm)
11:56:57	0/-1	---M--	302	error ('')			http://tutorialsymfony2.eu5.org/_static/images/icons/tip.png	C:/My%20Web%20Sites/symfony/tutorialsymfony2.eu5.org/_static/images/icons/tip.3e.delayed	(from http://tutorialsymfony2.eu5.org/pag1.htm)
11:56:57	0/-1	---M--	302	error ('')			http://tutorialsymfony2.eu5.org/_static/images/icons/warning.png	C:/My%20Web%20Sites/symfony/tutorialsymfony2.eu5.org/_static/images/icons/warning.3f.delayed	(from http://tutorialsymfony2.eu5.org/pag1.htm)
11:56:57	97096/97096	---M--	200	added ('OK')	text/plain	etag:%228c7927-17b48-4c2ec219f48c0%22	http://tutorialsymfony2.eu5.org/pag1_files/cbgapi.loaded_0	C:/My%20Web%20Sites/symfony/tutorialsymfony2.eu5.org/pag1_files/cbgapi.loaded_0	(from http://tutorialsymfony2.eu5.org/pag1.htm)
11:56:58	97096/97096	---M--	200	added ('OK')	text/plain	etag:%228c7928-17b48-4c2ec21900680%22	http://tutorialsymfony2.eu5.org/pag1_files/cbgapi.txt	C:/My%20Web%20Sites/symfony/tutorialsymfony2.eu5.org/pag1_files/cbgapi.txt	(from http://tutorialsymfony2.eu5.org/pag1.htm)
11:56:58	72174/72174	---M--	200	added ('OK')	application/javascript	etag:%228c793a-119ee-4c2ec248af700%22	http://tutorialsymfony2.eu5.org/pag1_files/jquery.js	C:/My%20Web%20Sites/symfony/tutorialsymfony2.eu5.org/pag1_files/jquery.js	(from http://tutorialsymfony2.eu5.org/pag1.htm)
